MCDA 3RS Design Alternatives;;;;;;
Stakeholder;Criteria;Status quo;Third runway;Regional hub distribution;Airport optimalization;Criteria_Weight
Hong Kong SAR Government;Economic benefits;25;95;30;65;0.35
Hong Kong SAR Government;Passenger safety;65;80;70;85;0.25
Hong Kong SAR Government;International competitiveness;25;95;15;70;0.3
Hong Kong SAR Government;Compliance with regulations;90;60;95;85;0.1
HKDCS;Marine ecology impact;100;10;80;60;0.35
HKDCS;Chinese white dolphin habitat;100;10;85;60;0.5
HKDCS;Noise pollution;85;35;75;80;0.15
Contractors;Profitability;5;100;15;65;0.65
Contractors;Technical feasibility;95;55;80;75;0.2
Contractors;Construction risk;95;40;85;80;0.15
Local communities;Noise pollution;75;35;75;70;0.35
Local communities;Air quality and health;80;35;75;80;0.3
Local communities;Opportunities;40;90;40;65;0.2
Local communities;Construction disturbance;95;15;75;80;0.15
